elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date
-50.0,1,0.5062575696406943,3.4937424303593057,1.5062575696406943,1.4937424303593057,AFC Challenge Cup,3.0,0.0,Sri Lanka,Bangladesh,2010-02-20
31.0,0,1.5817014446227928,0.9046548956661317,2.9731471535982816,0.5134264232008593,AFC Challenge Cup,3.0,0.0,Tajikistan,Myanmar,2010-02-20
282.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Challenge Cup,1.0,0.0,Turkmenistan,Kyrgyzstan,2010-02-21
277.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,5.0,0.0,Mexico,Bolivia,2010-02-24
-168.0,0,1.9815583218072845,0.6496081143384048,1.0,0.0,AFC Challenge Cup,0.0,2.0,Tajikistan,Turkmenistan,2010-02-24
381.0,1,1.0,3.0,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,United States,El Salvador,2010-02-24
28.0,0,1.5317073170731708,1.5317073170731708,1.9830985915492958,1.5126760563380282,Friendly,4.0,1.0,Kuwait,Bahrain,2010-02-25
55.0,1,0.0,0.0,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,Jordan,Azerbaijan,2010-02-25
-39.0,1,0.0,1.0,2.056311670636271,1.3487580809799251,Friendly,1.0,0.0,Malaysia,Yemen,2010-02-27
31.0,0,1.492361111111111,0.9829861111111111,1.7766367137355583,1.5141206675224648,AFC Challenge Cup,1.0,0.0,Tajikistan,Myanmar,2010-02-27
-319.0,1,1.321220365332297,1.321220365332297,2.0,0.0,Friendly,1.0,2.0,Luxembourg,Azerbaijan,2010-03-03
-473.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,2.0,Malta,Finland,2010-03-03
350.0,0,5.0,0.0,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Mexico,New Zealand,2010-03-03
-112.0,1,0.4283279094994576,2.268867193553386,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Mozambique,Botswana,2010-03-03
230.0,1,1.321220365332297,1.321220365332297,1.467843631778058,2.064312736443884,Friendly,2.0,1.0,Netherlands,United States,2010-03-03
16.0,1,0.8234523419587291,1.0,2.3133333333333335,1.3633333333333333,AFC Asian Cup qualification,0.0,0.0,Oman,Kuwait,2010-03-03
-48.0,1,4.439828080229226,1.0,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Poland,Bulgaria,2010-03-03
158.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,Romania,Israel,2010-03-03
-130.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Slovakia,Norway,2010-03-03
171.0,1,1.321220365332297,1.321220365332297,0.0,0.0,Friendly,4.0,1.0,Slovenia,Qatar,2010-03-03
326.0,1,3.0,0.0,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,South Africa,Namibia,2010-03-03
-144.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,Switzerland,Uruguay,2010-03-03
287.0,1,2.515214672780325,0.696957065443935,1.0,1.0,AFC Asian Cup qualification,4.0,0.0,Syria,Lebanon,2010-03-03
-206.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,3.0,Tanzania,Uganda,2010-03-03
147.0,1,1.321220365332297,1.321220365332297,1.0,0.0,AFC Asian Cup qualification,0.0,1.0,Uzbekistan,United Arab Emirates,2010-03-03
69.0,1,0.0,0.0,1.0,2.0,Friendly,1.0,2.0,Venezuela,Panama,2010-03-03
-232.0,1,1.321220365332297,1.321220365332297,1.0,0.49548387096774194,Friendly,0.0,1.0,Wales,Sweden,2010-03-03
75.0,1,0.0,4.454545454545454,0.9450057975815802,1.2231240682458175,Friendly,2.0,1.0,Zimbabwe,Malawi,2010-03-03
