`elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date,home_last5_wins,away_last5_wins,home_last5_goals_scored,home_last5_goals_conceded,away_last5_goals_scored,away_last5_goals_conceded
31.0,0,1.5817014446227928,0.9046548956661316,2.9731471535982816,0.5134264232008593,AFC Challenge Cup,3.0,0.0,Tajikistan,Myanmar,2010-02-20,2,2,5.0,3.0,6.0,1.0
282.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Challenge Cup,1.0,0.0,Turkmenistan,Kyrgyzstan,2010-02-21,0,0,0.0,0.0,0.0,0.0
277.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,5.0,0.0,Mexico,Bolivia,2010-02-24,0,0,0.0,0.0,0.0,0.0
-168.0,0,1.9815583218072843,0.6496081143384048,1.0,0.0,AFC Challenge Cup,0.0,2.0,Tajikistan,Turkmenistan,2010-02-24,3,1,8.0,3.0,1.0,0.0
381.0,1,1.0,3.0,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,United States,El Salvador,2010-02-24,0,0,1.0,3.0,0.0,0.0
28.0,0,1.5317073170731708,1.5317073170731708,1.983098591549296,1.5126760563380282,Friendly,4.0,1.0,Kuwait,Bahrain,2010-02-25,0,1,3.0,3.0,4.0,3.0
55.0,1,0.0,0.0,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,Jordan,Azerbaijan,2010-02-25,0,0,0.0,0.0,0.0,0.0
-39.0,1,0.0,1.0,2.056311670636271,1.3487580809799251,Friendly,1.0,0.0,Malaysia,Yemen,2010-02-27,0,2,0.0,1.0,8.0,5.0
31.0,0,1.492361111111111,0.9829861111111112,1.7766367137355583,1.5141206675224648,AFC Challenge Cup,1.0,0.0,Tajikistan,Myanmar,2010-02-27,3,2,8.0,5.0,6.0,4.0
-319.0,1,1.321220365332297,1.321220365332297,2.0,0.0,Friendly,1.0,2.0,Luxembourg,Azerbaijan,2010-03-03,0,1,0.0,0.0,2.0,0.0
350.0,0,5.0,0.0,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Mexico,New Zealand,2010-03-03,1,0,5.0,0.0,0.0,0.0
-112.0,1,0.4283279094994576,2.268867193553386,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Mozambique,Botswana,2010-03-03,0,0,2.0,9.0,0.0,0.0
230.0,1,1.321220365332297,1.321220365332297,1.467843631778058,2.064312736443884,Friendly,2.0,1.0,Netherlands,United States,2010-03-03,0,1,0.0,0.0,3.0,4.0
16.0,1,0.8234523419587291,1.0,2.313333333333333,1.3633333333333333,AFC Asian Cup qualification,0.0,0.0,Oman,Kuwait,2010-03-03,1,1,2.0,2.0,7.0,4.0
-48.0,1,4.439828080229226,1.0,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Poland,Bulgaria,2010-03-03,2,0,9.0,2.0,0.0,0.0
158.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,Romania,Israel,2010-03-03,0,0,0.0,0.0,0.0,0.0
-130.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Slovakia,Norway,2010-03-03,0,0,0.0,0.0,0.0,0.0
142.0,1,0.0,0.9913164293157346,0.7033707865168539,3.4198161389172625,AFC Asian Cup qualification,2.0,1.0,Jordan,Singapore,2010-03-03,0,0,0.0,2.0,2.0,10.0
326.0,1,3.0,0.0,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,South Africa,Namibia,2010-03-03,1,0,3.0,0.0,0.0,0.0
-144.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,Switzerland,Uruguay,2010-03-03,0,0,0.0,0.0,0.0,0.0
287.0,1,2.515214672780325,0.696957065443935,1.0,1.0,AFC Asian Cup qualification,4.0,0.0,Syria,Lebanon,2010-03-03,1,0,8.0,2.0,1.0,1.0
-206.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,3.0,Tanzania,Uganda,2010-03-03,0,0,0.0,0.0,0.0,0.0
147.0,1,1.321220365332297,1.321220365332297,1.0,0.0,AFC Asian Cup qualification,0.0,1.0,Uzbekistan,United Arab Emirates,2010-03-03,0,1,0.0,0.0,1.0,0.0
69.0,1,0.0,0.0,1.0,2.0,Friendly,1.0,2.0,Venezuela,Panama,2010-03-03,0,0,0.0,0.0,1.0,2.0
-232.0,1,1.321220365332297,1.321220365332297,1.0,0.4954838709677419,Friendly,0.0,1.0,Wales,Sweden,2010-03-03,0,1,0.0,0.0,2.0,1.0
171.0,1,1.321220365332297,1.321220365332297,0.0,0.0,Friendly,4.0,1.0,Slovenia,Qatar,2010-03-03,0,0,0.0,0.0,0.0,0.0
75.0,1,0.0,4.454545454545454,0.9450057975815802,1.2231240682458175,Friendly,2.0,1.0,Zimbabwe,Malawi,2010-03-03,0,1,0.0,9.0,4.0,5.0
27.0,1,0.0,1.0,1.3169004676018703,1.3696726786907147,Friendly,2.0,1.0,Libya,Mali,2010-03-03,0,1,0.0,1.0,7.0,7.0
-329.0,1,0.1931847296951063,1.6510376633358954,1.321220365332297,1.321220365332297,Friendly,0.0,3.0,Algeria,Serbia,2010-03-03,1,0,1.0,8.0,0.0,0.0
-473.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,2.0,Malta,Finland,2010-03-03,0,0,0.0,0.0,0.0,0.0
172.0,0,1.321220365332297,1.321220365332297,1.7348251028806585,1.8524948559670784,Friendly,0.0,0.0,Italy,Cameroon,2010-03-03,0,2,0.0,0.0,9.0,9.0
-49.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,0.0,Albania,Northern Ireland,2010-03-03,0,0,0.0,0.0,0.0,0.0
-115.0,1,1.3784586313942502,1.2356593332433528,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,Angola,Latvia,2010-03-03,1,0,7.0,6.0,0.0,0.0
-195.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,Armenia,Belarus,2010-03-03,0,0,0.0,0.0,0.0,0.0
487.0,1,2.0,2.0,1.0,2.0,AFC Asian Cup qualification,1.0,0.0,Australia,Indonesia,2010-03-03,0,0,2.0,2.0,1.0,2.0
-116.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,Austria,Denmark,2010-03-03,0,0,0.0,0.0,0.0,0.0
-283.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Belgium,Croatia,2010-03-03,0,0,0.0,0.0,0.0,0.0
-88.0,1,1.321220365332297,1.321220365332297,0.5900824283658249,0.2294910375507,Friendly,2.0,1.0,Bosnia and Herzegovina,Ghana,2010-03-03,0,3,0.0,0.0,3.0,1.0
116.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Cyprus,Iceland,2010-03-03,0,0,0.0,0.0,0.0,0.0
265.0,1,1.7963855421686747,0.603855421686747,1.605752541532358,2.4673939995040914,AFC Asian Cup qualification,2.0,0.0,Japan,Bahrain,2010-03-03,2,1,6.0,2.0,5.0,7.0
-151.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,North Macedonia,Montenegro,2010-03-03,0,0,0.0,0.0,0.0,0.0
-135.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,France,Spain,2010-03-03,0,0,0.0,0.0,0.0,0.0
-35.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,Georgia,Estonia,2010-03-03,0,0,0.0,0.0,0.0,0.0
89.0,1,1.321220365332297,1.321220365332297,2.5111997545259284,1.511199754525928,Friendly,0.0,1.0,Germany,Argentina,2010-03-03,0,2,0.0,0.0,5.0,3.0
126.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,2.0,Greece,Senegal,2010-03-03,0,0,0.0,0.0,0.0,0.0
-21.0,1,0.0,3.459909228441755,1.7043147208121827,1.2890580936266216,AFC Asian Cup qualification,0.0,0.0,Hong Kong,Yemen,2010-03-03,0,2,0.0,7.0,8.0,6.0
-238.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,Hungary,Russia,2010-03-03,0,0,0.0,0.0,0.0,0.0
52.0,0,1.0,2.0,1.321220365332297,1.321220365332297,Friendly,1.0,2.0,El Salvador,Guatemala,2010-03-03,0,0,1.0,2.0,0.0,0.0
221.0,1,1.321220365332297,1.321220365332297,2.2801950487621907,0.318642160540135,Friendly,3.0,1.0,England,Egypt,2010-03-03,0,5,0.0,0.0,12.0,1.0
338.0,1,3.0,1.0,0.668826815642458,1.1081564245810056,AFC Asian Cup qualification,1.0,0.0,Iran,Thailand,2010-03-03,1,1,3.0,1.0,2.0,3.0
-125.0,1,1.321220365332297,1.321220365332297,0.6489446119663546,1.2374226313283605,Friendly,2.0,0.0,Niger,Benin,2010-03-07,0,1,0.0,0.0,3.0,5.0
248.0,1,0.0,0.0,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Iceland,Faroe Islands,2010-03-21,0,0,0.0,0.0,0.0,0.0
-83.0,1,1.0,1.0,1.0,0.0,Friendly,0.0,0.0,Namibia,Botswana,2010-03-21,0,1,1.0,1.0,1.0,0.0
402.0,0,3.535725938009788,0.0,0.8679245283018868,0.0,Friendly,0.0,0.0,Mexico,Iceland,2010-03-24,2,1,7.0,0.0,2.0,0.0
147.0,1,1.321220365332297,1.321220365332297,2.053623188405797,0.4731884057971015,Friendly,1.0,1.0,Paraguay,South Africa,2010-03-31,0,1,0.0,0.0,4.0,1.0
138.0,1,2.0,1.0,0.4720496894409938,0.9440993788819876,Friendly,0.0,0.0,Chile,Venezuela,2010-03-31,1,0,2.0,1.0,1.0,2.0
57.0,1,1.8509700176366843,0.4419753086419753,3.0,0.0,Friendly,0.0,3.0,Japan,Serbia,2010-04-07,3,1,8.0,2.0,3.0,0.0
23.0,1,3.0,1.0,0.3078703703703703,0.6157407407407407,Friendly,0.0,1.0,Honduras,Venezuela,2010-04-21,1,0,3.0,1.0,1.0,2.0
39.0,0,1.640669751046486,0.679665124476757,1.0,1.1068232662192394,Friendly,2.0,0.0,South Africa,Jamaica,2010-04-28,1,1,5.0,2.0,2.0,2.0
224.0,1,0.9788408463661452,0.4894204231830726,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Chile,Trinidad and Tobago,2010-05-05,1,0,2.0,1.0,0.0,0.0
537.0,1,1.924535385770603,0.9245353857706026,1.321220365332297,1.321220365332297,Friendly,4.0,0.0,Argentina,Haiti,2010-05-05,3,0,6.0,3.0,0.0,0.0
131.0,0,2.4034153914393435,0.0,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Mexico,Ecuador,2010-05-07,2,0,7.0,0.0,0.0,0.0
245.0,0,1.7411632390745502,0.0,2.0,0.0,Friendly,1.0,0.0,Mexico,Senegal,2010-05-10,2,1,7.0,0.0,2.0,0.0
-126.0,1,1.4520663142719843,1.0982700624699664,0.9556801495127486,1.3739153651047924,Friendly,1.0,0.0,Yemen,Malawi,2010-05-12,2,1,8.0,5.0,5.0,7.0
864.0,1,0.0,1.0,1.0,2.0,Friendly,3.0,0.0,Germany,Malta,2010-05-13,0,0,0.0,1.0,1.0,2.0
416.0,0,1.589520766773163,0.0,1.3131561313379496,1.194996649542104,Friendly,1.0,0.0,Mexico,Angola,2010-05-13,3,1,8.0,0.0,7.0,6.0
180.0,1,1.7340182648401827,0.5030984996738421,0.4777334397446129,1.077254588986433,Friendly,4.0,0.0,South Africa,Thailand,2010-05-16,2,1,7.0,2.0,2.0,4.0
43.0,1,1.4984332793084818,0.0,1.31198347107438,0.3297520661157024,Friendly,1.0,0.0,Mexico,Chile,2010-05-16,3,2,4.0,0.0,4.0,1.0
-311.0,1,1.387818200556529,0.9421828300525612,0.5464029558791567,0.6635514018691588,Friendly,0.0,1.0,Yemen,Oman,2010-05-18,3,1,7.0,2.0,2.0,2.0
-273.0,1,2.0,1.0,1.0,0.0,Friendly,0.0,1.0,Austria,Croatia,2010-05-19,1,1,2.0,1.0,1.0,0.0
-103.0,1,0.0,1.0,0.0,2.0,Friendly,2.0,1.0,Belgium,Bulgaria,2010-05-19,0,0,0.0,1.0,0.0,2.0
174.0,0,0.9493482923609964,0.507177033492823,1.321220365332297,1.321220365332297,Corsica Cup,3.0,0.0,Gabon,Togo,2010-05-19,2,0,4.0,2.0,0.0,0.0
-667.0,1,1.321220365332297,1.321220365332297,0.4778812572759022,0.4644935972060535,Friendly,0.0,3.0,Aruba,Venezuela,2010-05-20,0,1,0.0,0.0,2.0,2.0
-163.0,1,1.0,2.0,2.0,1.0,Friendly,2.0,0.0,Estonia,Finland,2010-05-21,0,1,1.0,2.0,2.0,1.0
317.0,1,1.0,0.0,0.0,1.0,Friendly,2.0,0.0,Croatia,Wales,2010-05-23,2,0,2.0,0.0,0.0,1.0
382.0,1,2.3666715910769685,0.7275816221007534,0.0,1.0,Friendly,5.0,0.0,Argentina,Canada,2010-05-24,4,0,10.0,3.0,0.0,1.0
248.0,1,1.5518716577540106,1.1037433155080214,0.0,2.0,Friendly,2.0,1.0,Australia,New Zealand,2010-05-24,1,0,3.0,2.0,0.0,2.0
129.0,1,3.0,1.0,1.417164044130946,0.0,Friendly,3.0,1.0,England,Mexico,2010-05-24,1,3,3.0,1.0,3.0,0.0
-69.0,1,2.167853375527426,0.4067774261603376,0.4915410642879114,2.0,Friendly,1.0,1.0,South Africa,Bulgaria,2010-05-24,3,0,11.0,2.0,1.0,4.0
-184.0,0,2.0,1.0,1.4036000416189782,1.4988034543751951,Friendly,0.0,0.0,Georgia,Cameroon,2010-05-25,1,1,2.0,1.0,6.0,8.0
214.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,4.0,0.0,Ukraine,Lithuania,2010-05-25,0,0,0.0,0.0,0.0,0.0
-118.0,1,1.0,3.0,0.0,1.0,Friendly,3.0,1.0,Armenia,Uzbekistan,2010-05-25,0,0,1.0,3.0,0.0,1.0
153.0,1,1.0,2.0,1.0,0.0,Friendly,0.0,1.0,Montenegro,Albania,2010-05-25,0,1,1.0,2.0,1.0,0.0
138.0,0,0.9245220466349872,0.7693667808597635,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Nigeria,Saudi Arabia,2010-05-25,3,0,5.0,1.0,0.0,0.0
266.0,1,0.9497457373616512,0.5148070595273706,1.2300426569165144,1.2423826934795856,Friendly,3.0,0.0,Chile,Zambia,2010-05-26,2,1,4.0,2.0,5.0,5.0
-367.0,1,1.5313688212927756,0.9372623574144486,1.3278825995807129,0.0,Friendly,0.0,0.0,Estonia,Croatia,2010-05-26,1,3,3.0,2.0,4.0,0.0
