Simulation_ID,Hits,Iterations_Per_Simulation,Estimated_Pi,Actual_Pi,Absolute_Error,Percentage_Error_Percent,Start_Time_ms,End_Time_ms,Duration_ms
117,39289,50000,3.143120,3.14159265359,0.00152735,0.048617,1790106607277.504395,1790106607320.134766,42.630144
118,39262,50000,3.140960,3.14159265359,0.00063265,0.020138,1790106607277.504395,1790106607320.134766,42.630144
119,39426,50000,3.154080,3.14159265359,0.01248735,0.397485,1790106607277.504395,1790106607320.134766,42.630144
120,39384,50000,3.150720,3.14159265359,0.00912735,0.290532,1790106607277.504395,1790106607320.134766,42.630144
121,39220,50000,3.137600,3.14159265359,0.00399265,0.127090,1790106607277.504395,1790106607320.134766,42.630144
122,39314,50000,3.145120,3.14159265359,0.00352735,0.112279,1790106607277.504395,1790106607320.134766,42.630144
123,39157,50000,3.132560,3.14159265359,0.00903265,0.287518,1790106607277.504395,1790106607320.134766,42.630144
124,39252,50000,3.140160,3.14159265359,0.00143265,0.045603,1790106607277.504395,1790106607320.134766,42.630144
125,39106,50000,3.128480,3.14159265359,0.01311265,0.417389,1790106607277.504395,1790106607320.134766,42.630144
126,39128,50000,3.130240,3.14159265359,0.01135265,0.361366,1790106607277.504395,1790106607320.134766,42.630144
127,39177,50000,3.134160,3.14159265359,0.00743265,0.236589,1790106607277.504395,1790106607320.134766,42.630144
128,39242,50000,3.139360,3.14159265359,0.00223265,0.071068,1790106607277.504395,1790106607319.905273,42.400768
129,39301,50000,3.144080,3.14159265359,0.00248735,0.079175,1790106607277.504395,1790106607319.905273,42.400768
130,39487,50000,3.158960,3.14159265359,0.01736735,0.552820,1790106607277.504395,1790106607319.905273,42.400768
131,39158,50000,3.132640,3.14159265359,0.00895265,0.284972,1790106607277.504395,1790106607319.905273,42.400768
132,39312,50000,3.144960,3.14159265359,0.00336735,0.107186,1790106607277.504395,1790106607319.905273,42.400768
133,39207,50000,3.136560,3.14159265359,0.00503265,0.160194,1790106607277.504395,1790106607319.905273,42.400768
134,39343,50000,3.147440,3.14159265359,0.00584735,0.186127,1790106607277.504395,1790106607319.905273,42.400768
135,39309,50000,3.144720,3.14159265359,0.00312735,0.099547,1790106607277.504395,1790106607319.905273,42.400768
136,39349,50000,3.147920,3.14159265359,0.00632735,0.201406,1790106607277.504395,1790106607319.905273,42.400768
137,39332,50000,3.146560,3.14159265359,0.00496735,0.158116,1790106607277.504395,1790106607319.905273,42.400768
138,39409,50000,3.152720,3.14159265359,0.01112735,0.354194,1790106607277.504395,1790106607319.905273,42.400768
139,39559,50000,3.164720,3.14159265359,0.02312735,0.736166,1790106607277.504395,1790106607319.905273,42.400768
140,39344,50000,3.147520,3.14159265359,0.00592735,0.188673,1790106607277.504395,1790106607319.905273,42.400768
141,39367,50000,3.149360,3.14159265359,0.00776735,0.247242,1790106607277.504395,1790106607319.905273,42.400768
142,39202,50000,3.136160,3.14159265359,0.00543265,0.172927,1790106607277.504395,1790106607319.905273,42.400768
143,39236,50000,3.138880,3.14159265359,0.00271265,0.086346,1790106607277.504395,1790106607319.905273,42.400768
144,39286,50000,3.142880,3.14159265359,0.00128735,0.040978,1790106607277.504395,1790106607319.905273,42.400768
145,39406,50000,3.152480,3.14159265359,0.01088735,0.346555,1790106607277.504395,1790106607319.905273,42.400768
146,39260,50000,3.140800,3.14159265359,0.00079265,0.025231,1790106607277.504395,1790106607319.905273,42.400768
147,39240,50000,3.139200,3.14159265359,0.00239265,0.076161,1790106607277.504395,1790106607319.905273,42.400768
148,39349,50000,3.147920,3.14159265359,0.00632735,0.201406,1790106607277.504395,1790106607319.905273,42.400768
149,39306,50000,3.144480,3.14159265359,0.00288735,0.091907,1790106607277.504395,1790106607319.905273,42.400768
150,39373,50000,3.149840,3.14159265359,0.00824735,0.262521,1790106607277.504395,1790106607319.905273,42.400768
151,39213,50000,3.137040,3.14159265359,0.00455265,0.144915,1790106607277.504395,1790106607319.905273,42.400768
152,39278,50000,3.142240,3.14159265359,0.00064735,0.020606,1790106607277.504395,1790106607319.905273,42.400768
153,39297,50000,3.143760,3.14159265359,0.00216735,0.068989,1790106607277.504395,1790106607319.905273,42.400768
154,39366,50000,3.149280,3.14159265359,0.00768735,0.244696,1790106607277.504395,1790106607319.905273,42.400768
155,39300,50000,3.144000,3.14159265359,0.00240735,0.076628,1790106607277.504395,1790106607319.905273,42.400768
156,39267,50000,3.141360,3.14159265359,0.00023265,0.007406,1790106607277.504395,1790106607319.905273,42.400768
157,39386,50000,3.150880,3.14159265359,0.00928735,0.295625,1790106607277.504395,1790106607319.905273,42.400768
158,39184,50000,3.134720,3.14159265359,0.00687265,0.218763,1790106607277.504395,1790106607319.905273,42.400768
159,39314,50000,3.145120,3.14159265359,0.00352735,0.112279,1790106607277.504395,1790106607319.905273,42.400768
160,39232,50000,3.138560,3.14159265359,0.00303265,0.096532,1790106607277.504395,1790106607319.900146,42.395648
161,39251,50000,3.140080,3.14159265359,0.00151265,0.048149,1790106607277.504395,1790106607319.900146,42.395648
162,39401,50000,3.152080,3.14159265359,0.01048735,0.333823,1790106607277.504395,1790106607319.900146,42.395648
163,39439,50000,3.155120,3.14159265359,0.01352735,0.430589,1790106607277.504395,1790106607319.900146,42.395648
164,39275,50000,3.142000,3.14159265359,0.00040735,0.012966,1790106607277.504395,1790106607319.900146,42.395648
165,39053,50000,3.124240,3.14159265359,0.01735265,0.552352,1790106607277.504395,1790106607319.900146,42.395648
166,39214,50000,3.137120,3.14159265359,0.00447265,0.142369,1790106607277.504395,1790106607319.900146,42.395648
167,39310,50000,3.144800,3.14159265359,0.00320735,0.102093,1790106607277.504395,1790106607319.900146,42.395648
168,39335,50000,3.146800,3.14159265359,0.00520735,0.165755,1790106607277.504395,1790106607319.900146,42.395648
169,39346,50000,3.147680,3.14159265359,0.00608735,0.193766,1790106607277.504395,1790106607319.900146,42.395648
170,39137,50000,3.130960,3.14159265359,0.01063265,0.338448,1790106607277.504395,1790106607319.900146,42.395648
171,39315,50000,3.145200,3.14159265359,0.00360735,0.114825,1790106607277.504395,1790106607319.900146,42.395648
172,39288,50000,3.143040,3.14159265359,0.00144735,0.046070,1790106607277.504395,1790106607319.900146,42.395648
173,39109,50000,3.128720,3.14159265359,0.01287265,0.409749,1790106607277.504395,1790106607319.900146,42.395648
174,39287,50000,3.142960,3.14159265359,0.00136735,0.043524,1790106607277.504395,1790106607319.900146,42.395648
