thread_id,estimate,error,time_us
151,3.08,0.0615928,285.696
152,3.144,0.00240731,285.696
153,3.104,0.0375926,285.696
154,3.136,0.00559282,285.696
155,3.172,0.0304072,285.696
156,3.06,0.0815928,285.696
157,3.084,0.0575926,285.696
158,3.132,0.00959277,285.696
159,3.116,0.0255928,285.696
160,3.184,0.0424073,288.768
161,3.184,0.0424073,288.768
162,3.232,0.0904074,288.768
163,3.176,0.0344074,288.768
164,3.148,0.00640726,288.768
165,3.116,0.0255928,288.768
166,3.088,0.0535927,288.768
167,3.184,0.0424073,288.768
168,3.052,0.0895927,288.768
169,3.08,0.0615928,288.768
170,3.152,0.0104072,288.768
171,3.06,0.0815928,288.768
172,3.16,0.0184073,288.768
173,3.188,0.0464072,288.768
174,3.172,0.0304072,288.768
175,3.1,0.0415928,288.768
176,3.096,0.0455928,288.768
177,3.268,0.126407,288.768
178,3.184,0.0424073,288.768
179,3.204,0.0624073,288.768
180,3.084,0.0575926,288.768
181,3.048,0.0935926,288.768
182,3.196,0.0544074,288.768
183,3.18,0.0384073,288.768
184,3.176,0.0344074,288.768
185,3.204,0.0624073,288.768
186,3.216,0.0744073,288.768
187,3.12,0.0215929,288.768
188,3.24,0.0984073,288.768
189,3.1,0.0415928,288.768
190,3.144,0.00240731,288.768
191,3.168,0.0264072,288.768
192,3.104,0.0375926,285.696
193,3.144,0.00240731,285.696
194,3.092,0.0495927,285.696
195,3.128,0.0135927,285.696
196,3.208,0.0664072,285.696
197,3.1,0.0415928,285.696
198,3.104,0.0375926,285.696
199,3.16,0.0184073,285.696
200,3.192,0.0504072,285.696
201,3.036,0.105593,285.696
202,3.136,0.00559282,285.696
203,3.28,0.138407,285.696
204,3.024,0.117593,285.696
205,3.196,0.0544074,285.696
206,3.248,0.106407,285.696
207,3.164,0.0224073,285.696
208,3.144,0.00240731,285.696
209,3.108,0.0335927,285.696
210,3.112,0.0295928,285.696
211,3.176,0.0344074,285.696
212,3.18,0.0384073,285.696
213,3.212,0.0704072,285.696
214,3.16,0.0184073,285.696
215,3.16,0.0184073,285.696
216,3.112,0.0295928,285.696
217,3.112,0.0295928,285.696
218,3.156,0.0144072,285.696
219,3.104,0.0375926,285.696
220,3.252,0.110407,285.696
221,3.092,0.0495927,285.696
222,3.16,0.0184073,285.696
223,3.068,0.0735927,285.696
224,3.124,0.0175927,287.744
225,3.18,0.0384073,287.744
226,3.14,0.00159264,287.744
227,3.084,0.0575926,287.744
228,3.176,0.0344074,287.744
229,3.204,0.0624073,287.744
230,3.192,0.0504072,287.744
231,3.204,0.0624073,287.744
232,3.144,0.00240731,287.744
233,3.044,0.0975928,287.744
234,3.212,0.0704072,287.744
235,3.08,0.0615928,287.744
236,3.124,0.0175927,287.744
237,3.104,0.0375926,287.744
238,3.14,0.00159264,287.744
239,3.196,0.0544074,287.744
240,3.152,0.0104072,287.744
241,3.136,0.00559282,287.744
242,3.148,0.00640726,287.744
243,3.064,0.0775928,287.744
244,3.136,0.00559282,287.744
245,3.184,0.0424073,287.744
246,3.132,0.00959277,287.744
247,3.128,0.0135927,287.744
248,3.152,0.0104072,287.744
249,3.164,0.0224073,287.744
250,3.112,0.0295928,287.744
251,3.088,0.0535927,287.744
252,3.184,0.0424073,287.744
253,3.184,0.0424073,287.744
254,3.136,0.00559282,287.744
255,3.164,0.0224073,287.744
256,3.132,0.00959277,283.648
257,3.088,0.0535927,283.648
258,3.12,0.0215929,283.648
259,3.168,0.0264072,283.648
260,3.156,0.0144072,283.648
261,3.236,0.0944073,283.648
262,3.128,0.0135927,283.648
263,3.22,0.0784073,283.648
264,3.056,0.0855927,283.648
265,3.1,0.0415928,283.648
266,3.152,0.0104072,283.648
267,3.068,0.0735927,283.648
268,3.136,0.00559282,283.648
269,3.1,0.0415928,283.648
270,3.188,0.0464072,283.648
271,3.188,0.0464072,283.648
272,3.06,0.0815928,283.648
273,3.144,0.00240731,283.648
274,3.216,0.0744073,283.648
275,3.148,0.00640726,283.648
276,3.192,0.0504072,283.648
277,3.1,0.0415928,283.648
278,3.232,0.0904074,283.648
279,3.196,0.0544074,283.648
280,3.104,0.0375926,283.648
281,3.184,0.0424073,283.648
282,3.1,0.0415928,283.648
283,3.14,0.00159264,283.648
284,3.196,0.0544074,283.648
285,3.132,0.00959277,283.648
286,3.116,0.0255928,283.648
287,3.164,0.0224073,283.648
288,3.2,0.0584073,284.672
289,3.192,0.0504072,284.672
290,3.196,0.0544074,284.672
291,3.172,0.0304072,284.672
292,3.176,0.0344074,284.672
293,3.252,0.110407,284.672
294,3.192,0.0504072,284.672
295,3.092,0.0495927,284.672
296,3.092,0.0495927,284.672
297,3.196,0.0544074,284.672
298,3.216,0.0744073,284.672
299,3.104,0.0375926,284.672
300,3.104,0.0375926,284.672
301,3.176,0.0344074,284.672
302,3.264,0.122407,284.672
303,3.176,0.0344074,284.672
304,3.148,0.00640726,284.672
305,3.22,0.0784073,284.672
306,3.208,0.0664072,284.672
307,3.14,0.00159264,284.672
308,3.12,0.0215929,284.672
309,3.18,0.0384073,284.672
310,3.176,0.0344074,284.672
311,3.14,0.00159264,284.672
312,3.108,0.0335927,284.672
