date,home_team,away_team,home_score,away_score,tournament,winner,venue,home_team_elo,away_team_elo
2010-05-13,Mexico,Angola,1.0,0.0,Friendly,Mexico,Neutral,1846.0,1430.0
2010-05-16,Mexico,Chile,1.0,0.0,Friendly,Mexico,Mexico,1846.0,1803.0
2010-05-16,South Africa,Thailand,4.0,0.0,Friendly,South Africa,South Africa,1632.0,1452.0
2010-05-18,Yemen,Oman,0.0,1.0,Friendly,Oman,Yemen,1253.0,1564.0
2010-05-19,Austria,Croatia,0.0,1.0,Friendly,Croatia,Austria,1608.0,1881.0
2010-05-19,Belgium,Bulgaria,2.0,1.0,Friendly,Belgium,Belgium,1598.0,1701.0
2010-05-19,Gabon,Togo,3.0,0.0,Corsica Cup,Gabon,Neutral,1582.0,1408.0
2010-05-20,Aruba,Venezuela,0.0,3.0,Friendly,Venezuela,Aruba,998.0,1665.0
2010-05-21,Estonia,Finland,2.0,0.0,Friendly,Estonia,Estonia,1514.0,1677.0
2010-05-23,Croatia,Wales,2.0,0.0,Friendly,Croatia,Croatia,1881.0,1564.0
2010-05-24,Argentina,Canada,5.0,0.0,Friendly,Argentina,Argentina,1979.0,1597.0
2010-05-24,Australia,New Zealand,2.0,1.0,Friendly,Australia,Australia,1744.0,1496.0
2010-05-24,England,Mexico,3.0,1.0,Friendly,England,England,1975.0,1846.0
2010-05-24,South Africa,Bulgaria,1.0,1.0,Friendly,Draw,South Africa,1632.0,1701.0
2010-05-25,Armenia,Uzbekistan,3.0,1.0,Friendly,Armenia,Armenia,1437.0,1555.0
2010-05-25,Georgia,Cameroon,0.0,0.0,Friendly,Draw,Neutral,1479.0,1663.0
2010-05-25,Montenegro,Albania,0.0,1.0,Friendly,Albania,Montenegro,1697.0,1544.0
2010-05-25,Nigeria,Saudi Arabia,0.0,0.0,Friendly,Draw,Neutral,1735.0,1597.0
2010-05-25,Ukraine,Lithuania,4.0,0.0,Friendly,Ukraine,Ukraine,1812.0,1598.0
2010-05-26,Chile,Zambia,3.0,0.0,Friendly,Chile,Chile,1803.0,1537.0
2010-05-26,Estonia,Croatia,0.0,0.0,Friendly,Draw,Estonia,1514.0,1881.0
2010-05-26,France,Costa Rica,2.0,1.0,Friendly,France,France,2004.0,1666.0
2010-05-26,Netherlands,Mexico,2.0,1.0,Friendly,Netherlands,Neutral,2095.0,1846.0
2010-05-26,Uruguay,Israel,4.0,1.0,Friendly,Uruguay,Uruguay,1887.0,1750.0
2010-05-27,Belarus,Honduras,2.0,2.0,Friendly,Draw,Neutral,1632.0,1688.0
2010-05-27,Denmark,Senegal,2.0,0.0,Friendly,Denmark,Denmark,1724.0,1601.0
2010-05-27,South Africa,Colombia,2.0,1.0,Friendly,South Africa,South Africa,1632.0,1765.0
2010-05-29,Azerbaijan,North Macedonia,1.0,3.0,Friendly,North Macedonia,Neutral,1427.0,1546.0
2010-05-29,Hungary,Germany,0.0,3.0,Friendly,Germany,Hungary,1605.0,2068.0
2010-05-29,Iceland,Andorra,4.0,0.0,Friendly,Iceland,Iceland,1444.0,1018.0
2010-05-29,New Zealand,Serbia,1.0,0.0,Friendly,New Zealand,Neutral,1496.0,1728.0
2010-05-29,Norway,Montenegro,2.0,1.0,Friendly,Norway,Norway,1801.0,1697.0
2010-05-29,Poland,Finland,0.0,0.0,Friendly,Draw,Poland,1653.0,1677.0
2010-05-29,Slovakia,Cameroon,1.0,1.0,Friendly,Draw,Neutral,1671.0,1663.0
2010-05-29,Spain,Saudi Arabia,3.0,2.0,Friendly,Spain,Neutral,2139.0,1597.0
2010-05-29,Sweden,Bosnia and Herzegovina,4.0,2.0,Friendly,Sweden,Sweden,1796.0,1612.0
2010-05-29,Ukraine,Romania,3.0,2.0,Friendly,Ukraine,Ukraine,1812.0,1908.0
2010-05-29,Venezuela,Canada,1.0,1.0,Friendly,Draw,Venezuela,1665.0,1597.0
2010-05-30,Chile,Northern Ireland,1.0,0.0,Friendly,Chile,Chile,1803.0,1593.0
2010-05-30,Chile,Israel,3.0,0.0,Friendly,Chile,Chile,1803.0,1750.0
2010-05-30,Japan,England,1.0,2.0,Friendly,England,Neutral,1785.0,1975.0
2010-05-30,Mexico,Gambia,5.0,1.0,Friendly,Mexico,Neutral,1846.0,1423.0
2010-05-30,Nigeria,Colombia,1.0,1.0,Friendly,Draw,Neutral,1735.0,1765.0
2010-05-30,Tunisia,France,1.0,1.0,Friendly,Draw,Tunisia,1584.0,2004.0
2010-05-31,South Africa,Guatemala,5.0,0.0,Friendly,South Africa,South Africa,1632.0,1432.0
2010-06-01,Australia,Denmark,1.0,0.0,Friendly,Australia,Neutral,1744.0,1724.0
2010-06-01,Netherlands,Ghana,4.0,1.0,Friendly,Netherlands,Netherlands,2095.0,1700.0
2010-06-01,Portugal,Cameroon,3.0,1.0,Friendly,Portugal,Portugal,1863.0,1663.0
2010-06-01,Switzerland,Costa Rica,0.0,1.0,Friendly,Costa Rica,Switzerland,1743.0,1666.0
2010-06-02,Albania,Andorra,1.0,0.0,Friendly,Albania,Albania,1544.0,1018.0
2010-06-02,Azerbaijan,Honduras,0.0,0.0,Friendly,Draw,Neutral,1427.0,1688.0
2010-06-02,Belarus,Sweden,0.0,1.0,Friendly,Sweden,Belarus,1632.0,1796.0
2010-06-02,Greece,Paraguay,0.0,2.0,Friendly,Paraguay,Neutral,1727.0,1779.0
2010-06-02,Norway,Ukraine,0.0,1.0,Friendly,Ukraine,Norway,1801.0,1812.0
2010-06-02,Romania,North Macedonia,0.0,1.0,Friendly,North Macedonia,Neutral,1908.0,1546.0
2010-06-02,Serbia,Poland,0.0,0.0,Friendly,Draw,Neutral,1728.0,1653.0
2010-06-02,Zimbabwe,Brazil,0.0,3.0,Friendly,Brazil,Zimbabwe,1454.0,2010.0
2010-06-03,Germany,Bosnia and Herzegovina,3.0,1.0,Friendly,Germany,Germany,2068.0,1612.0
2010-06-03,Italy,Mexico,1.0,2.0,Friendly,Mexico,Neutral,1835.0,1846.0
2010-06-04,Luxembourg,Faroe Islands,0.0,0.0,Friendly,Draw,Luxembourg,1108.0,1196.0
2010-06-04,Slovenia,New Zealand,3.0,1.0,Friendly,Slovenia,Slovenia,1694.0,1496.0
2010-06-04,Sudan,Palestine,1.0,1.0,Friendly,Draw,Sudan,1333.0,1254.0
2010-06-05,Algeria,United Arab Emirates,1.0,0.0,Friendly,Algeria,Neutral,1399.0,1408.0
2010-06-05,Australia,United States,1.0,3.0,Friendly,United States,Neutral,1744.0,1865.0
2010-06-05,Ghana,Latvia,1.0,0.0,Friendly,Ghana,Neutral,1700.0,1545.0
2010-06-05,Netherlands,Hungary,6.0,1.0,Friendly,Netherlands,Netherlands,2095.0,1605.0
2010-06-05,Romania,Honduras,3.0,0.0,Friendly,Romania,Neutral,1908.0,1688.0
2010-06-05,Serbia,Cameroon,4.0,3.0,Friendly,Serbia,Serbia,1728.0,1663.0
2010-06-05,Slovakia,Costa Rica,3.0,0.0,Friendly,Slovakia,Slovakia,1671.0,1666.0
2010-06-05,South Africa,Denmark,1.0,0.0,Friendly,South Africa,South Africa,1632.0,1724.0
2010-06-05,Switzerland,Italy,1.0,1.0,Friendly,Draw,Switzerland,1743.0,1835.0
2010-06-07,Tanzania,Brazil,1.0,5.0,Friendly,Brazil,Tanzania,1360.0,2010.0
2010-06-08,Mozambique,Portugal,0.0,3.0,Friendly,Portugal,Neutral,1277.0,1863.0
2010-06-08,Spain,Poland,6.0,0.0,Friendly,Spain,Spain,2139.0,1653.0
2010-06-11,South Africa,Mexico,1.0,1.0,FIFA World Cup,Draw,South Africa,1632.0,1846.0
2010-06-11,Uruguay,France,0.0,0.0,FIFA World Cup,Draw,Neutral,1887.0,2004.0
2010-06-12,Argentina,Nigeria,1.0,0.0,FIFA World Cup,Argentina,Neutral,1979.0,1735.0
2010-06-12,England,United States,1.0,1.0,FIFA World Cup,Draw,Neutral,1975.0,1865.0
2010-06-13,Algeria,Slovenia,0.0,1.0,FIFA World Cup,Slovenia,Neutral,1399.0,1694.0
2010-06-13,Germany,Australia,4.0,0.0,FIFA World Cup,Germany,Neutral,2068.0,1744.0
2010-06-13,Serbia,Ghana,0.0,1.0,FIFA World Cup,Ghana,Neutral,1728.0,1700.0
2010-06-14,Italy,Paraguay,1.0,1.0,FIFA World Cup,Draw,Neutral,1835.0,1779.0
2010-06-14,Japan,Cameroon,1.0,0.0,FIFA World Cup,Japan,Neutral,1785.0,1663.0
2010-06-14,Netherlands,Denmark,2.0,0.0,FIFA World Cup,Netherlands,Neutral,2095.0,1724.0
2010-06-15,New Zealand,Slovakia,1.0,1.0,FIFA World Cup,Draw,Neutral,1496.0,1671.0
2010-06-16,Honduras,Chile,0.0,1.0,FIFA World Cup,Chile,Neutral,1688.0,1803.0
2010-06-16,South Africa,Uruguay,0.0,3.0,FIFA World Cup,Uruguay,South Africa,1632.0,1887.0
2010-06-16,Spain,Switzerland,0.0,1.0,FIFA World Cup,Switzerland,Neutral,2139.0,1743.0
2010-06-17,France,Mexico,0.0,2.0,FIFA World Cup,Mexico,Neutral,2004.0,1846.0
2010-06-17,Greece,Nigeria,2.0,1.0,FIFA World Cup,Greece,Neutral,1727.0,1735.0
2010-06-18,England,Algeria,0.0,0.0,FIFA World Cup,Draw,Neutral,1975.0,1399.0
2010-06-18,Germany,Serbia,0.0,1.0,FIFA World Cup,Serbia,Neutral,2068.0,1728.0
2010-06-18,Lithuania,Latvia,0.0,0.0,Baltic Cup,Draw,Lithuania,1598.0,1545.0
2010-06-18,Slovenia,United States,2.0,2.0,FIFA World Cup,Draw,Neutral,1694.0,1865.0
2010-06-19,Cameroon,Denmark,1.0,2.0,FIFA World Cup,Denmark,Neutral,1663.0,1724.0
2010-06-19,Estonia,Latvia,0.0,0.0,Baltic Cup,Draw,Neutral,1514.0,1545.0
